ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
1,The discovery of the New World resulted from the desire of many Europeans to,(A) establish a place where they could practice their religion freely.,(B) find an all-water route to the East.,(C) end the practice of primogeniture.,(D) spread Christianity around the world.,(E) uplift and civilize other peoples of the world.,B
2,Which event was the most important cause of the Nullification Crisis?,(A) The passage of the Force Act under Andrew Jackson,(B) The debates between Robert Y. Hayne and Daniel Webster,(C) The Treaty of Ghent after the War of 1812,(D) The passage of the Compromise Tariff of 1833,(E) The passage of the 1828 Tariff of Abominations,E
3,Why did Stephen Douglas support the idea of Popular Sovereignty when designing the Kansas-Nebraska Act of 1854?,(A) It guaranteed that 'free soilers' could exclude slavery from Kansas and Nebraska.,(B) It was outlined in the Constitution as a method for creating new states.,(C) It guaranteed that pro-slavery settlers could expand slavery in Kansas.,(D) It seemed a fair way to resolve a difficult controversy.,(E) It let the Congress decide on slavery in the territories.,D
4,Which of the following developments is NOT associated with the Gilded Age?,(A) Relations between workers and owners became increasingly contentious.,(B) African Americans’ migration to industrial cities led to 'white flight'.,(C) New inventions made communication between cities easier.,(D) Many industries came to be dominated by a small number of large companies.,(E) Corruption in politics became more public and widespread.,B
5,The publication of The Jungle contributed to rapid passage of the,(A) Interstate Commerce Act.,(B) Wade-Davis Bill.,(C) Pure Food and Drug Act.,(D) 15th Amendment.,(E) Clayton Antitrust Act.,C
6,A philosophical basis of Franklin D. Roosevelt’s New Deal was the,(A) philosophy of Herbert Hoover.,(B) practice of laissez-faire by the government.,"(C) combination of relief, recovery, and reform.",(D) idea that wars end depression.,(E) importance of gaining the approval of Congress before he established his programs.,C
7,"In response to the Japanese invasion of Manchuria in 1931, the United States",(A) issued a document refusing to recognize Japanese actions as legitimate.,(B) called a special session of the League of Nations.,(C) sent General MacArthur to command U.S. forces in the Pacific.,(D) engaged in a policy of watchful waiting.,"(E) sent the Panay, a naval vessel, to the coast of Japan.",A
8,"During the years of Lyndon Johnson’s presidency, all of the following were enacted EXCEPT",(A) Medicare.,(B) Medicaid.,(C) the Elementary and Secondary Education Act.,(D) the Constitutional Amendment eliminating the poll tax.,(E) the Alliance for Progress.,E
9,For which of the following ideas in the 1970s was Gloria Steinem most noted?,"(A) Sex has political aspects, which can be seen in literary works by writers such as D. H. Lawrence and Norman Mailer.",(B) Women should convince men to help with the housework.,(C) Blacks and whites should have equality in the workplace.,(D) Women should have equal rights with men.,(E) The use of pesticides was harming the environment.,D
10,An example of the change in U.S. policy toward Vietnam since the end of the Vietnam War was best demonstrated by,(A) increased aid given to North Vietnam by George H. W. Bush.,(B) trade restrictions placed on Vietnam by George W. Bush.,(C) recognition of the Vietnamese government by Richard Nixon.,(D) criticism of Vietnam for its human rights violations by Jimmy Carter.,(E) visits and trade talks conducted by Bill Clinton with Vietnamese leaders.,E
11,The New England colonists seemed to thrive in the early years of colonization as compared to the Southern colonists. The longer life spans and the overall growth of the population in New England have been attributed to the,(A) participation of New Englanders in transatlantic trade.,(B) lack of slavery and indentured servitude in New England.,(C) strong religious beliefs and the family units with which they traveled to the New World.,(D) larger number of single men in the New England colonies.,(E) temperate climate of New England.,C
12,The Northwest Ordinance of 1787 was significant because it,(A) ended British control of the Ohio Valley.,(B) prohibited the extension of slavery into the Northwest Territory.,(C) prevented slavery north of the 36° 30’ north latitude line.,(D) secured peaceful relations between the colonists and the Native Americans.,(E) settled a dispute over the location of the boundary between Canada and the United States.,B
13,"In the 1829 Appeal to the Colored Citizens of the World, David Walker called for",(A) the gradual abolition of slavery.,(B) a return to Africa for all African Americans.,"(C) the immediate abolition of slavery and, if necessary, for slaves to kill their masters.",(D) slaves to wait until the time was right to ask the U.S. government for emancipation.,(E) a separate state for freed people to live in.,C
14,Which of the following is an important reason the South lost the Civil War?,(A) The South did not have enough guns to prevent the Union from overpowering it.,"(B) Slaves ran away, so there were fewer and fewer hands to do the work on the home front.","(C) The Union generals were better military men, so they continually out-maneuvered the Southern forces.",(D) The South was unable to ship any cotton because the Union blockade was so effective.,(E) The issues of slavery and states rights were not important to the majority of Southerners.,B
15,One reason Woodrow Wilson was able to win the presidency in 1912 was that,(A) Americans rallied around him during World War I.,(B) a majority of African Americans voted for the Democratic Party.,(C) Wilson’s humble origins endeared him to working-class Americans.,(D) there was a major split in the Republican Party.,(E) his opponent died two weeks before the election.,D
